R25-117-128, curden = -1494103011.562527
R25-117-129, curden = -1545206490.470201
R25-117-130, curden = -1521435976.136219
R25-117-131, curden = -1281329697.822782
R25-117-132, curden = -0.000000
R25-118-100, curden = -0.000000
R25-118-101, curden = 49995908.550793
R25-118-102, curden = 58417336.353449
R25-118-103, curden = 30860866.589732
R25-118-104, curden = -9613369.611407
R25-118-105, curden = -26386219.698784
R25-118-106, curden = -67473374.181311
R25-118-107, curden = -87036440.958498
R25-118-108, curden = -127896821.761416
R25-118-109, curden = -156324616.672824
R25-118-110, curden = -201277591.905083
R25-118-111, curden = -246466565.529705
R25-118-112, curden = -285794648.932352
R25-118-113, curden = -331564799.893968
R25-118-114, curden = -378305420.851979
R25-118-115, curden = -416953397.838830
R25-118-116, curden = -467812039.632172
R25-118-117, curden = -513415259.653000
R25-118-118, curden = -561555611.254371
R25-118-119, curden = -617993539.610990
R25-118-120, curden = -671036804.928614
R25-118-121, curden = -731290099.414307
R25-118-122, curden = -800843518.385538
R25-118-123, curden = -876208693.385139
R25-118-124, curden = -953299012.053109
R25-118-125, curden = -1006351659.619152
R25-118-126, curden = -1077184889.630971
R25-118-127, curden = -1118850236.704363
R25-118-128, curden = -1146137927.818443
R25-118-129, curden = -1116039425.582518
R25-118-130, curden = -1020196994.524516
R25-118-131, curden = -798919511.197842
R25-118-132, curden = -0.000000
R25-119-100, curden = -0.000000
R25-119-101, curden = 55607111.596280
R25-119-102, curden = 58825617.006278
R25-119-103, curden = 35033658.457423
R25-119-104, curden = 4683687.257276
R25-119-105, curden = -26554526.599851
R25-119-106, curden = -55593149.054103
R25-119-107, curden = -84699755.598390
R25-119-108, curden = -99752068.949059
R25-119-109, curden = -143213082.918395
R25-119-110, curden = -183243273.407609
R25-119-111, curden = -226082134.350218
R25-119-112, curden = -265810011.097044
R25-119-113, curden = -304407803.114575
R25-119-114, curden = -349374791.977059
R25-119-115, curden = -385689802.417873
R25-119-116, curden = -422178495.387397
R25-119-117, curden = -468023653.381293
R25-119-118, curden = -516074713.426668
R25-119-119, curden = -562763454.329365
R25-119-120, curden = -601955889.917404
R25-119-121, curden = -646180295.892155
R25-119-122, curden = -720220606.715994
R25-119-123, curden = -758065104.576162
R25-119-124, curden = -809054509.814635
R25-119-125, curden = -848776749.089268
R25-119-126, curden = -883720358.483402
R25-119-127, curden = -888122285.314677
R25-119-128, curden = -902761240.646292
R25-119-129, curden = -850810857.837963
R25-119-130, curden = -746951119.563456
R25-119-131, curden = -566317664.525484
R25-119-132, curden = -0.000000
R25-131-100, curden = -0.000000
R25-131-101, curden = 4878884608.113248
R25-131-102, curden = 4624261778.823256
R25-131-103, curden = 4427469624.175271
R25-131-104, curden = 4256167743.366546
R25-131-105, curden = 4104774408.781147
